R0, m1, m2, log_tau1, log_tau2, c1, c2
1.004151435305058238e+00,1.311056476519394665e-01,9.290969820888934638e-01,-7.358186423119208452e-01,-5.602012928971389805e+00,5.304365267133271944e-01,4.967293591879314851e-01
1.004151435305058238e+00,1.311056476519394665e-01,9.290969820888934638e-01,-7.358186423119208452e-01,-5.602012928971389805e+00,5.304365267133271944e-01,4.967293591879314851e-01
1.004151435305058238e+00,1.311056476519394665e-01,9.290969820888934638e-01,-7.358186423119208452e-01,-5.602012928971389805e+00,5.304365267133271944e-01,4.967293591879314851e-01
1.004151435305058238e+00,1.311056476519394665e-01,9.290969820888934638e-01,-7.358186423119208452e-01,-5.602012928971389805e+00,5.304365267133271944e-01,4.967293591879314851e-01
1.004151435305058238e+00,1.311056476519394665e-01,9.290969820888934638e-01,-7.358186423119208452e-01,-5.602012928971389805e+00,5.304365267133271944e-01,4.967293591879314851e-01
1.004151435305058238e+00,1.311056476519394665e-01,9.290969820888934638e-01,-7.358186423119208452e-01,-5.602012928971389805e+00,5.304365267133271944e-01,4.967293591879314851e-01
1.004151435305058238e+00,1.311056476519394665e-01,9.290969820888934638e-01,-7.358186423119208452e-01,-5.602012928971389805e+00,5.304365267133271944e-01,4.967293591879314851e-01
1.004151435305058238e+00,1.311056476519394665e-01,9.290969820888934638e-01,-7.358186423119208452e-01,-5.602012928971389805e+00,5.304365267133271944e-01,4.967293591879314851e-01
1.004151435305058238e+00,1.311056476519394665e-01,9.290969820888934638e-01,-7.358186423119208452e-01,-5.602012928971389805e+00,5.304365267133271944e-01,4.967293591879314851e-01
1.004151435305058238e+00,1.311056476519394665e-01,9.290969820888934638e-01,-7.358186423119208452e-01,-5.602012928971389805e+00,5.304365267133271944e-01,4.967293591879314851e-01
1.004151435305058238e+00,1.311056476519394665e-01,9.290969820888934638e-01,-7.358186423119208452e-01,-5.602012928971389805e+00,5.304365267133271944e-01,4.967293591879314851e-01
1.004151435305058238e+00,1.311056476519394665e-01,9.290969820888934638e-01,-7.358186423119208452e-01,-5.602012928971389805e+00,5.304365267133271944e-01,4.967293591879314851e-01
1.004151435305058238e+00,1.311056476519394665e-01,9.290969820888934638e-01,-7.358186423119208452e-01,-5.602012928971389805e+00,5.304365267133271944e-01,4.967293591879314851e-01
1.004151435305058238e+00,1.311056476519394665e-01,9.290969820888934638e-01,-7.358186423119208452e-01,-5.602012928971389805e+00,5.304365267133271944e-01,4.967293591879314851e-01
1.004151435305058238e+00,1.311056476519394665e-01,9.290969820888934638e-01,-7.358186423119208452e-01,-5.602012928971389805e+00,5.304365267133271944e-01,4.967293591879314851e-01
1.004151435305058238e+00,1.311056476519394665e-01,9.290969820888934638e-01,-7.358186423119208452e-01,-5.602012928971389805e+00,5.304365267133271944e-01,4.967293591879314851e-01
1.004151435305058238e+00,1.311056476519394665e-01,9.290969820888934638e-01,-7.358186423119208452e-01,-5.602012928971389805e+00,5.304365267133271944e-01,4.967293591879314851e-01
1.004151435305058238e+00,1.311056476519394665e-01,9.290969820888934638e-01,-7.358186423119208452e-01,-5.602012928971389805e+00,5.304365267133271944e-01,4.967293591879314851e-01
1.004151435305058238e+00,1.311056476519394665e-01,9.290969820888934638e-01,-7.358186423119208452e-01,-5.602012928971389805e+00,5.304365267133271944e-01,4.967293591879314851e-01
1.004151435305058238e+00,1.311056476519394665e-01,9.290969820888934638e-01,-7.358186423119208452e-01,-5.602012928971389805e+00,5.304365267133271944e-01,4.967293591879314851e-01
1.006001050769103733e+00,1.297815577520538277e-01,9.499118679209965777e-01,-7.052230922062838747e-01,-5.627232732536088911e+00,5.360471232687240573e-01,4.928147830018605458e-01
1.006001050769103733e+00,1.297815577520538277e-01,9.499118679209965777e-01,-7.052230922062838747e-01,-5.627232732536088911e+00,5.360471232687240573e-01,4.928147830018605458e-01
1.006001050769103733e+00,1.297815577520538277e-01,9.499118679209965777e-01,-7.052230922062838747e-01,-5.627232732536088911e+00,5.360471232687240573e-01,4.928147830018605458e-01
1.006001050769103733e+00,1.297815577520538277e-01,9.499118679209965777e-01,-7.052230922062838747e-01,-5.627232732536088911e+00,5.360471232687240573e-01,4.928147830018605458e-01
1.006001050769103733e+00,1.297815577520538277e-01,9.499118679209965777e-01,-7.052230922062838747e-01,-5.627232732536088911e+00,5.360471232687240573e-01,4.928147830018605458e-01
1.006001050769103733e+00,1.297815577520538277e-01,9.499118679209965777e-01,-7.052230922062838747e-01,-5.627232732536088911e+00,5.360471232687240573e-01,4.928147830018605458e-01
1.006001050769103733e+00,1.297815577520538277e-01,9.499118679209965777e-01,-7.052230922062838747e-01,-5.627232732536088911e+00,5.360471232687240573e-01,4.928147830018605458e-01
1.006001050769103733e+00,1.297815577520538277e-01,9.499118679209965777e-01,-7.052230922062838747e-01,-5.627232732536088911e+00,5.360471232687240573e-01,4.928147830018605458e-01
1.006001050769103733e+00,1.297815577520538277e-01,9.499118679209965777e-01,-7.052230922062838747e-01,-5.627232732536088911e+00,5.360471232687240573e-01,4.928147830018605458e-01
1.006001050769103733e+00,1.297815577520538277e-01,9.499118679209965777e-01,-7.052230922062838747e-01,-5.627232732536088911e+00,5.360471232687240573e-01,4.928147830018605458e-01
1.006001050769103733e+00,1.297815577520538277e-01,9.499118679209965777e-01,-7.052230922062838747e-01,-5.627232732536088911e+00,5.360471232687240573e-01,4.928147830018605458e-01
1.006001050769103733e+00,1.297815577520538277e-01,9.499118679209965777e-01,-7.052230922062838747e-01,-5.627232732536088911e+00,5.360471232687240573e-01,4.928147830018605458e-01
1.006001050769103733e+00,1.297815577520538277e-01,9.499118679209965777e-01,-7.052230922062838747e-01,-5.627232732536088911e+00,5.360471232687240573e-01,4.928147830018605458e-01
1.006001050769103733e+00,1.297815577520538277e-01,9.499118679209965777e-01,-7.052230922062838747e-01,-5.627232732536088911e+00,5.360471232687240573e-01,4.928147830018605458e-01
1.006001050769103733e+00,1.297815577520538277e-01,9.499118679209965777e-01,-7.052230922062838747e-01,-5.627232732536088911e+00,5.360471232687240573e-01,4.928147830018605458e-01
1.006001050769103733e+00,1.297815577520538277e-01,9.499118679209965777e-01,-7.052230922062838747e-01,-5.627232732536088911e+00,5.360471232687240573e-01,4.928147830018605458e-01
1.006001050769103733e+00,1.297815577520538277e-01,9.499118679209965777e-01,-7.052230922062838747e-01,-5.627232732536088911e+00,5.360471232687240573e-01,4.928147830018605458e-01
1.006001050769103733e+00,1.297815577520538277e-01,9.499118679209965777e-01,-7.052230922062838747e-01,-5.627232732536088911e+00,5.360471232687240573e-01,4.928147830018605458e-01
1.006001050769103733e+00,1.297815577520538277e-01,9.499118679209965777e-01,-7.052230922062838747e-01,-5.627232732536088911e+00,5.360471232687240573e-01,4.928147830018605458e-01
1.006001050769103733e+00,1.297815577520538277e-01,9.499118679209965777e-01,-7.052230922062838747e-01,-5.627232732536088911e+00,5.360471232687240573e-01,4.928147830018605458e-01
1.006001050769103733e+00,1.297815577520538277e-01,9.499118679209965777e-01,-7.052230922062838747e-01,-5.627232732536088911e+00,5.360471232687240573e-01,4.928147830018605458e-01
