Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
log_m_i_49, -2.615960392359163, 0.013357238972854181, 0.0002468992952084691, -2.6424581547441712, -2.5903050101892506, -2.6428758419621317, -2.624853911685496, -2.6156384964234967, -2.606920440660773, -2.5904168074480363
log_m_i_50, -2.6497591490088066, 0.013357238972854192, 0.0002468992952084658, -2.6762569113938386, -2.624103766838918, -2.676674598611799, -2.6586526683351632, -2.649437253073164, -2.6407191973104402, -2.6242155640977036
log_m_i_51, -2.6825787058214847, 0.013357238972854096, 0.0002468992952084729, -2.7090764682065274, -2.6569233236516068, -2.709494155424488, -2.691472225147852, -2.682256809885853, -2.673538754123129, -2.6570351209103924
log_m_i_52, -2.7140216344314068, 0.013357238972854277, 0.0002468992952084656, -2.7405193968164268, -2.688366252261506, -2.740937084034387, -2.7229151537577514, -2.713699738495752, -2.7049816827330284, -2.688478049520292
log_m_i_53, -2.74376979403365, 0.013357238972854162, 0.00024689929520846376, -2.7702675564186476, -2.718114411863727, -2.770685243636608, -2.7526633133599723, -2.743447898097973, -2.7347298423352493, -2.7182262091225127
log_m_i_54, -2.7715788301522184, 0.013357238972854122, 0.0002468992952084678, -2.7980765925372726, -2.745923447982352, -2.798494279755233, -2.7804723494785972, -2.771256934216598, -2.7625388784538742, -2.7460352452411376
log_m_i_55, -2.7972699705276445, 0.013357238972854162, 0.0002468992952084669, -2.823767732912659, -2.7716145883577386, -2.8241854201306196, -2.806163489853984, -2.7969480745919846, -2.788230018829261, -2.771726385616524
log_m_i_56, -2.8207208510914397, 0.013357238972854249, 0.00024689929520846593, -2.847218613476459, -2.7950654689215386, -2.8476363006944196, -2.829614370417784, -2.8203989551557846, -2.811680899393061, -2.7951772661803242
log_m_i_57, -2.8418565824408697, 0.013357238972854173, 0.0002468992952084692, -2.8683543448258852, -2.8162012002709647, -2.8687720320438457, -2.85075010176721, -2.8415346865052107, -2.832816630742487, -2.8163129975297503
log_m_i_58, -2.8606417679777842, 0.013357238972854199, 0.0002468992952084722, -2.8871395303627705, -2.83498638580785, -2.887557217580731, -2.869535287304095, -2.860319872042096, -2.851601816279372, -2.8350981830666355
log_m_i_59, -2.8770741293252735, 0.01335723897285415, 0.0002468992952084656, -2.9035718917103166, -2.851418747155396, -2.903989578928277, -2.8859676486516412, -2.876752233389642, -2.8680341776269183, -2.8515305444141816
log_m_i_60, -2.8911790768144265, 0.013357238972854174, 0.0002468992952084661, -2.917676839199483, -2.8655236946445624, -2.9180945264174434, -2.9000725961408076, -2.8908571808788084, -2.8821391251160846, -2.865635491903348
log_m_i_61, -2.903005371309153, 0.013357238972854171, 0.00024689929520846983, -2.929503133694201, -2.8773499891392804, -2.9299208209121614, -2.9118988906355256, -2.9026834753735264, -2.8939654196108027, -2.877461786398066
log_m_i_62, -2.9126215729060636, 0.013357238972854162, 0.00024689929520846767, -2.9391193352910676, -2.886966190736147, -2.939537022509028, -2.9215150922323923, -2.912299676970393, -2.9035816212076693, -2.8870779879949326
log_m_i_63, -2.9201129081997363, 0.013357238972854252, 0.00024689929520846544, -2.9466106705847355, -2.894457526029815, -2.947028357802696, -2.92900642752606, -2.919791012264061, -2.911072956501337, -2.8945693232886005
log_m_i_64, -2.9255781883628, 0.013357238972854247, 0.00024689929520847135, -2.952075950747802, -2.8999228061928815, -2.9524936379657625, -2.9344717076891267, -2.9252562924271275, -2.9165382366644037, -2.900034603451667
log_m_i_65, -2.9291264820199556, 0.01335723897285415, 0.0002468992952084679, -2.95562424440498, -2.9034710998500595, -2.9560419316229405, -2.9380200013463047, -2.9288045860843055, -2.9200865303215817, -2.903582897108845
log_m_i_66, -2.930873385524961, 0.013357238972854162, 0.00024689929520846886, -2.9573711479099756, -2.905218003355055, -2.957788835127936, -2.9397669048513, -2.930551489589301, -2.9218334338265772, -2.9053298006138406
log_m_i_67, -2.9309369133647563, 0.013357238972854162, 0.000246899295208468, -2.957434675749806, -2.9052815311948854, -2.9578523629677664, -2.9398304326911306, -2.9306150174291314, -2.9218969616664077, -2.905393328453671
log_m_i_68, -2.9294332099248206, 0.013357238972854244, 0.00024689929520847135, -2.955930972309834, -2.9037778277549133, -2.9563486595277944, -2.9383267292511586, -2.9291113139891594, -2.9203932582264356, -2.903889625013699
log_m_i_69, -2.9264724142342957, 0.013357238972854199, 0.0002468992952084731, -2.952970176619286, -2.9008170320643654, -2.9533878638372464, -2.9353659335606106, -2.9261505182986114, -2.9174324625358876, -2.900928829323151
log_m_i_70, -2.9221550579257904, 0.01335723897285426, 0.00024689929520846767, -2.9486528203108087, -2.896499675755888, -2.949070507528769, -2.9310485772521333, -2.921833161990134, -2.9131151062274103, -2.8966114730146737
log_m_i_71, -2.916569333296361, 0.013357238972854176, 0.0002468992952084652, -2.943067095681417, -2.8909139511264965, -2.9434847828993775, -2.9254628526227417, -2.9162474373607425, -2.9075293815980188, -2.891025748385282
log_m_i_72, -2.909789448367639, 0.013357238972854176, 0.0002468992952084673, -2.9362872107526954, -2.884134066197775, -2.936704897970656, -2.91868296769402, -2.909467552432021, -2.900749496669297, -2.8842458634565604
log_m_i_73, -2.901875124246513, 0.013357238972854218, 0.00024689929520846924, -2.928372886631566, -2.8762197420766453, -2.9287905738495263, -2.9107686435728906, -2.9015532283108914, -2.8928351725481676, -2.876331539335431
log_m_i_74, -2.8928721303034, 0.01335723897285423, 0.00024689929520847, -2.9193698926884015, -2.867216748133481, -2.919787579906362, -2.901765649629726, -2.892550234367727, -2.883832178605003, -2.8673285453922666
log_m_i_75, -2.882813633188372, 0.01335723897285417, 0.0002468992952084709, -2.9093113955733862, -2.8571582510184657, -2.9097290827913467, -2.891707152514711, -2.8824917372527117, -2.873773681489988, -2.8572700482772513
log_m_i_76, -2.871722079320279, 0.013357238972854199, 0.00024689929520846913, -2.898219841705284, -2.846066697150363, -2.8986375289232442, -2.8806155986466084, -2.8714001833846092, -2.8626821276218855, -2.846178494409149
log_m_i_77, -2.859611339911116, 0.013357238972854133, 0.00024689929520846116, -2.886109102296112, -2.8339559577411912, -2.8865267895140723, -2.8685048592374365, -2.8592894439754373, -2.8505713882127135, -2.834067754999977
log_m_i_78, -2.846488907962014, 0.013357238972854213, 0.00024689929520847097, -2.872986670347026, -2.8208335257921053, -2.8734043575649864, -2.8553824272883506, -2.8461670120263514, -2.8374489562636276, -2.820945323050891
log_m_i_79, -2.8323580081229207, 0.013357238972854192, 0.0002468992952084729, -2.8588557705079527, -2.806702625953032, -2.859273457725913, -2.8412515274492773, -2.832036112187278, -2.8233180564245544, -2.8068144232118177
log_m_i_80, -2.817219610592869, 0.013357238972854176, 0.00024689929520846794, -2.8437173729779106, -2.79156422842299, -2.844135060195871, -2.8261131299192352, -2.816897714657236, -2.8081796588945123, -2.7916760256817756
log_m_i_81, -2.801074365561612, 0.013357238972854218, 0.0002468992952084661, -2.8275721279466057, -2.775418983391685, -2.827989815164566, -2.8099678848879304, -2.800752469625931, -2.7920344138632074, -2.7755307806504708
log_m_i_82, -2.783924531047649, 0.01335723897285423, 0.00024689929520846636, -2.8104222934326746, -2.758269148877754, -2.810839980650635, -2.792818050373999, -2.783602635112, -2.7748845793492762, -2.7583809461365396
log_m_i_83, -2.7657759824337433, 0.013357238972854157, 0.0002468992952084665, -2.792273744818782, -2.7401206002638614, -2.7926914320367424, -2.7746695017601066, -2.7654540864981074, -2.7567360307353836, -2.740232397522647
log_m_i_84, -2.7466403854958394, 0.013357238972854216, 0.00024689929520847097, -2.773138147880851, -2.7209850033259304, -2.7735558350988114, -2.7555339048221756, -2.7463184895601764, -2.7376004337974527, -2.721096800584716
log_m_i_85, -2.726537590271863, 0.013357238972854209, 0.0002468992952084653, -2.753035352656866, -2.7008822081019455, -2.7534530398748265, -2.7354311095981907, -2.7262156943361915, -2.7174976385734677, -2.700994005360731
log_m_i_86, -2.705498264099248, 0.013357238972854181, 0.0002468992952084709, -2.731996026484245, -2.6798428819293245, -2.7324137137022055, -2.7143917834255697, -2.7051763681635705, -2.6964583124008468, -2.67995467918811
log_m_i_87, -2.6835667342129947, 0.013357238972854197, 0.00024689929520847, -2.71006449659803, -2.6579113520431092, -2.7104821838159903, -2.6924602535393545, -2.6832448382773553, -2.6745267825146315, -2.658023149301895
log_m_i_88, -2.660803963704143, 0.013357238972854263, 0.0002468992952084721, -2.687301726089164, -2.6351485815342435, -2.6877194133071245, -2.6696974830304887, -2.6604820677684895, -2.6517640120057657, -2.635260378793029
log_m_i_89, -2.637290552319782, 0.013357238972854218, 0.0002468992952084705, -2.6637883147047945, -2.611635170149874, -2.664206001922755, -2.646184071646119, -2.63696865638412, -2.628250600621396, -2.6117469674086595
log_m_i_90, -2.6131296447125356, 0.013357238972854284, 0.0002468992952084678, -2.6396274070975623, -2.5874742625426417, -2.6400450943155227, -2.622023164038887, -2.6128077487768877, -2.604089693014164, -2.5875860598014273
log_m_i_91, -2.588449642018335, 0.013357238972854147, 0.00024689929520846853, -2.6149474044033427, -2.562794259848422, -2.615365091621303, -2.5973431613446674, -2.588127746082668, -2.5794096903199444, -2.5629060571072078
log_m_i_92, -2.5634066346994695, 0.01335723897285423, 0.00024689929520846636, -2.5899043970845073, -2.5377512525295867, -2.5903220843024677, -2.572300154025832, -2.5630847387638327, -2.554366683001109, -2.5378630497883723
log_m_i_93, -2.538186485383343, 0.013357238972854135, 0.0002468992952084657, -2.5646842477683864, -2.512531103213466, -2.565101934986347, -2.547080004709711, -2.537864589447712, -2.529146533684988, -2.5126429004722515
