Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
log_tau_i_21, -5.09452767693, 0.0365986428259, 0.0081837053243, -5.164300930738584, -5.030524075242569, -5.16430093074, -5.12282756347, -5.08999566333, -5.06212327865, -5.03052407524
log_tau_i_22, -5.04444690148, 0.0365986428259, 0.0081837053243, -5.114220155294319, -4.980443299798305, -5.11422015529, -5.07274678803, -5.03991488788, -5.0120425032, -4.9804432998
log_tau_i_23, -4.99436612604, 0.0365986428259, 0.0081837053243, -5.0641393798500545, -4.93036252435404, -5.06413937985, -5.02266601258, -4.98983411244, -4.96196172776, -4.93036252435
log_tau_i_24, -4.94428535059, 0.0365986428259, 0.0081837053243, -5.01405860440579, -4.880281748909775, -5.01405860441, -4.97258523714, -4.93975333699, -4.91188095231, -4.88028174891
log_tau_i_25, -4.89420457515, 0.0365986428259, 0.0081837053243, -4.963977828961525, -4.8302009734655105, -4.96397782896, -4.9225044617, -4.88967256155, -4.86180017687, -4.83020097347
log_tau_i_26, -4.84412379971, 0.0365986428259, 0.0081837053243, -4.91389705351726, -4.780120198021246, -4.91389705352, -4.87242368625, -4.83959178611, -4.81171940142, -4.78012019802
log_tau_i_27, -4.79404302426, 0.0365986428259, 0.0081837053243, -4.863816278072996, -4.730039422576981, -4.86381627807, -4.82234291081, -4.78951101066, -4.76163862598, -4.73003942258
log_tau_i_28, -4.74396224882, 0.0365986428259, 0.0081837053243, -4.813735502628731, -4.679958647132716, -4.81373550263, -4.77226213536, -4.73943023522, -4.71155785054, -4.67995864713
log_tau_i_29, -4.69388147337, 0.0365986428259, 0.0081837053243, -4.763654727184466, -4.629877871688452, -4.76365472718, -4.72218135992, -4.68934945977, -4.66147707509, -4.62987787169
log_tau_i_30, -4.64380069793, 0.0365986428259, 0.0081837053243, -4.7135739517402016, -4.579797096244187, -4.71357395174, -4.67210058447, -4.63926868433, -4.61139629965, -4.57979709624
log_tau_i_31, -4.59371992248, 0.0365986428259, 0.0081837053243, -4.663493176295937, -4.529716320799922, -4.6634931763, -4.62201980903, -4.58918790888, -4.5613155242, -4.5297163208
log_tau_i_32, -4.54363914704, 0.0365986428259, 0.0081837053243, -4.613412400851672, -4.4796355453556576, -4.61341240085, -4.57193903359, -4.53910713344, -4.51123474876, -4.47963554536
log_tau_i_33, -4.4935583716, 0.0365986428259, 0.0081837053243, -4.563331625407404, -4.429554769911389, -4.56333162541, -4.52185825814, -4.489026358, -4.46115397331, -4.42955476991
log_tau_i_34, -4.44347759615, 0.0365986428259, 0.0081837053243, -4.513250849963139, -4.379473994467125, -4.51325084996, -4.4717774827, -4.43894558255, -4.41107319787, -4.37947399447
log_tau_i_35, -4.39339682071, 0.0365986428259, 0.0081837053243, -4.4631700745188745, -4.32939321902286, -4.46317007452, -4.42169670725, -4.38886480711, -4.36099242243, -4.32939321902
log_tau_i_36, -4.34331604526, 0.0365986428259, 0.0081837053243, -4.41308929907461, -4.279312443578595, -4.41308929907, -4.37161593181, -4.33878403166, -4.31091164698, -4.27931244358
log_tau_i_37, -4.29323526982, 0.0365986428259, 0.0081837053243, -4.363008523630345, -4.2292316681343305, -4.36300852363, -4.32153515636, -4.28870325622, -4.26083087154, -4.22923166813
log_tau_i_38, -4.24315449437, 0.0365986428259, 0.0081837053243, -4.31292774818608, -4.179150892690066, -4.31292774819, -4.27145438092, -4.23862248077, -4.21075009609, -4.17915089269
log_tau_i_39, -4.19307371893, 0.0365986428259, 0.0081837053243, -4.262846972741816, -4.129070117245801, -4.26284697274, -4.22137360548, -4.18854170533, -4.16066932065, -4.12907011725
log_tau_i_40, -4.14299294349, 0.0365986428259, 0.0081837053243, -4.212766197297551, -4.078989341801536, -4.2127661973, -4.17129283003, -4.13846092989, -4.1105885452, -4.0789893418
log_tau_i_41, -4.09291216804, 0.0365986428259, 0.0081837053243, -4.162685421853286, -4.028908566357272, -4.16268542185, -4.12121205459, -4.08838015444, -4.06050776976, -4.02890856636
log_tau_i_42, -4.0428313926, 0.0365986428259, 0.0081837053243, -4.112604646409022, -3.978827790913007, -4.11260464641, -4.07113127914, -4.038299379, -4.01042699432, -3.97882779091
log_tau_i_43, -3.99275061715, 0.0365986428259, 0.0081837053243, -4.062523870964757, -3.9287470154687423, -4.06252387096, -4.0210505037, -3.98821860355, -3.96034621887, -3.92874701547
log_tau_i_44, -3.94266984171, 0.0365986428259, 0.0081837053243, -4.012443095520492, -3.8786662400244776, -4.01244309552, -3.97096972825, -3.93813782811, -3.91026544343, -3.87866624002
log_tau_i_45, -3.89258906626, 0.0365986428259, 0.0081837053243, -3.9623623200762275, -3.828585464580213, -3.96236232008, -3.92088895281, -3.88805705267, -3.86018466798, -3.82858546458
log_tau_i_46, -3.84250829082, 0.0365986428259, 0.0081837053243, -3.9122815446319628, -3.778504689135948, -3.91228154463, -3.87080817737, -3.83797627722, -3.81010389254, -3.77850468914
log_tau_i_47, -3.79242751538, 0.0365986428259, 0.0081837053243, -3.862200769187698, -3.7284239136916835, -3.86220076919, -3.82072740192, -3.78789550178, -3.76002311709, -3.72842391369
log_tau_i_48, -3.74234673993, 0.0365986428259, 0.0081837053243, -3.81211999374343, -3.678343138247415, -3.81211999374, -3.77064662648, -3.73781472633, -3.70994234165, -3.67834313825
log_tau_i_49, -3.69226596449, 0.0365986428259, 0.0081837053243, -3.762039218299165, -3.6282623628031505, -3.7620392183, -3.72056585103, -3.68773395089, -3.65986156621, -3.6282623628
log_tau_i_50, -3.64218518904, 0.0365986428259, 0.0081837053243, -3.7119584428549004, -3.578181587358886, -3.71195844285, -3.67048507559, -3.63765317544, -3.60978079076, -3.57818158736
log_tau_i_51, -3.5921044136, 0.0365986428259, 0.0081837053243, -3.6618776674106357, -3.528100811914621, -3.66187766741, -3.62040430014, -3.5875724, -3.55970001532, -3.52810081191
log_tau_i_52, -3.54202363815, 0.0365986428259, 0.0081837053243, -3.611796891966371, -3.4780200364703564, -3.61179689197, -3.5703235247, -3.53749162456, -3.50961923987, -3.47802003647
log_tau_i_53, -3.49194286271, 0.0365986428259, 0.0081837053243, -3.5617161165221063, -3.4279392610260917, -3.56171611652, -3.52024274926, -3.48741084911, -3.45953846443, -3.42793926103
log_tau_i_54, -3.44186208727, 0.0365986428259, 0.0081837053243, -3.5116353410778416, -3.377858485581827, -3.51163534108, -3.47016197381, -3.43733007367, -3.40945768898, -3.37785848558
log_tau_i_55, -3.39178131182, 0.0365986428259, 0.0081837053243, -3.461554565633577, -3.3277777101375623, -3.46155456563, -3.42008119837, -3.38724929822, -3.35937691354, -3.32777771014
log_tau_i_56, -3.34170053638, 0.0365986428259, 0.0081837053243, -3.411473790189312, -3.2776969346932976, -3.41147379019, -3.37000042292, -3.33716852278, -3.3092961381, -3.27769693469
log_tau_i_57, -3.29161976093, 0.0365986428259, 0.0081837053243, -3.3613930147450475, -3.227616159249033, -3.36139301475, -3.31991964748, -3.28708774733, -3.25921536265, -3.22761615925
log_tau_i_58, -3.24153898549, 0.0365986428259, 0.0081837053243, -3.311312239300783, -3.177535383804768, -3.3113122393, -3.26983887203, -3.23700697189, -3.20913458721, -3.1775353838
log_tau_i_59, -3.19145821004, 0.0365986428259, 0.0081837053243, -3.261231463856518, -3.1274546083605035, -3.26123146386, -3.21975809659, -3.18692619645, -3.15905381176, -3.12745460836
log_tau_i_60, -3.1413774346, 0.0365986428259, 0.0081837053243, -3.2111506884122534, -3.077373832916239, -3.21115068841, -3.16967732115, -3.136845421, -3.10897303632, -3.07737383292
log_tau_i_61, -3.09129665916, 0.0365986428259, 0.0081837053243, -3.1610699129679887, -3.027293057471974, -3.16106991297, -3.1195965457, -3.08676464556, -3.05889226087, -3.02729305747
log_tau_i_62, -3.04121588371, 0.0365986428259, 0.0081837053243, -3.110989137523724, -2.9772122820277094, -3.11098913752, -3.06951577026, -3.03668387011, -3.00881148543, -2.97721228203
log_tau_i_63, -2.99113510827, 0.0365986428259, 0.0081837053243, -3.0609083620794557, -2.927131506583441, -3.06090836208, -3.01943499481, -2.98660309467, -2.95873070999, -2.92713150658
log_tau_i_64, -2.94105433282, 0.0365986428259, 0.0081837053243, -3.010827586635191, -2.8770507311391764, -3.01082758664, -2.96935421937, -2.93652231922, -2.90864993454, -2.87705073114
log_tau_i_65, -2.89097355738, 0.0365986428259, 0.0081837053243, -2.9607468111909263, -2.8269699556949117, -2.96074681119, -2.91927344392, -2.88644154378, -2.8585691591, -2.82696995569
log_tau_i_66, -2.84089278193, 0.0365986428259, 0.0081837053243, -2.9106660357466616, -2.776889180250647, -2.91066603575, -2.86919266848, -2.83636076834, -2.80848838365, -2.77688918025
log_tau_i_67, -2.79081200649, 0.0365986428259, 0.0081837053243, -2.860585260302397, -2.7268084048063823, -2.8605852603, -2.81911189304, -2.78627999289, -2.75840760821, -2.72680840481
log_tau_i_68, -2.74073123105, 0.0365986428259, 0.0081837053243, -2.810504484858132, -2.6767276293621176, -2.81050448486, -2.76903111759, -2.73619921745, -2.70832683276, -2.67672762936
log_tau_i_69, -2.6906504556, 0.0365986428259, 0.0081837053243, -2.7604237094138675, -2.626646853917853, -2.76042370941, -2.71895034215, -2.686118442, -2.65824605732, -2.62664685392
log_tau_i_70, -2.64056968016, 0.0365986428259, 0.0081837053243, -2.710342933969603, -2.576566078473588, -2.71034293397, -2.6688695667, -2.63603766656, -2.60816528188, -2.57656607847
log_tau_i_71, -2.59048890471, 0.0365986428259, 0.0081837053243, -2.660262158525338, -2.5264853030293235, -2.66026215853, -2.61878879126, -2.58595689111, -2.55808450643, -2.52648530303
log_tau_i_72, -2.54040812927, 0.0365986428259, 0.0081837053243, -2.6101813830810734, -2.476404527585059, -2.61018138308, -2.56870801582, -2.53587611567, -2.50800373099, -2.47640452759
log_tau_i_73, -2.49032735382, 0.0365986428259, 0.0081837053243, -2.5601006076368087, -2.426323752140794, -2.56010060764, -2.51862724037, -2.48579534023, -2.45792295554, -2.42632375214
log_tau_i_74, -2.44024657838, 0.0365986428259, 0.0081837053243, -2.510019832192544, -2.3762429766965294, -2.51001983219, -2.46854646493, -2.43571456478, -2.4078421801, -2.3762429767
log_tau_i_75, -2.39016580294, 0.0365986428259, 0.0081837053243, -2.4599390567482793, -2.3261622012522647, -2.45993905675, -2.41846568948, -2.38563378934, -2.35776140465, -2.32616220125
log_tau_i_76, -2.34008502749, 0.0365986428259, 0.0081837053243, -2.4098582813040146, -2.276081425808, -2.4098582813, -2.36838491404, -2.33555301389, -2.30768062921, -2.27608142581
log_tau_i_77, -2.29000425205, 0.0365986428259, 0.0081837053243, -2.3597775058597463, -2.2260006503637317, -2.35977750586, -2.31830413859, -2.28547223845, -2.25759985377, -2.22600065036
log_tau_i_78, -2.2399234766, 0.0365986428259, 0.0081837053243, -2.3096967304154816, -2.175919874919467, -2.30969673042, -2.26822336315, -2.235391463, -2.20751907832, -2.17591987492
log_tau_i_79, -2.18984270116, 0.0365986428259, 0.0081837053243, -2.259615954971217, -2.1258390994752023, -2.25961595497, -2.21814258771, -2.18531068756, -2.15743830288, -2.12583909948
log_tau_i_80, -2.13976192571, 0.0365986428259, 0.0081837053243, -2.209535179526952, -2.0757583240309376, -2.20953517953, -2.16806181226, -2.13522991212, -2.10735752743, -2.07575832403
log_tau_i_81, -2.08968115027, 0.0365986428259, 0.0081837053243, -2.1594544040826875, -2.025677548586673, -2.15945440408, -2.11798103682, -2.08514913667, -2.05727675199, -2.02567754859
log_tau_i_82, -2.03960037483, 0.0365986428259, 0.0081837053243, -2.109373628638423, -1.9755967731424084, -2.10937362864, -2.06790026137, -2.03506836123, -2.00719597654, -1.97559677314
log_tau_i_83, -1.98951959938, 0.0365986428259, 0.0081837053243, -2.059292853194158, -1.9255159976981437, -2.05929285319, -2.01781948593, -1.98498758578, -1.9571152011, -1.9255159977
log_tau_i_84, -1.93943882394, 0.0365986428259, 0.0081837053243, -2.0092120777498934, -1.875435222253879, -2.00921207775, -1.96773871048, -1.93490681034, -1.90703442566, -1.87543522225
log_tau_i_85, -1.88935804849, 0.0365986428259, 0.0081837053243, -1.9591313023056287, -1.8253544468096143, -1.95913130231, -1.91765793504, -1.88482603489, -1.85695365021, -1.82535444681
log_tau_i_86, -1.83927727305, 0.0365986428259, 0.0081837053243, -1.909050526861364, -1.7752736713653496, -1.90905052686, -1.8675771596, -1.83474525945, -1.80687287477, -1.77527367137
log_tau_i_87, -1.78919649761, 0.0365986428259, 0.0081837053243, -1.8589697514170993, -1.725192895921085, -1.85896975142, -1.81749638415, -1.78466448401, -1.75679209932, -1.72519289592
log_tau_i_88, -1.73911572216, 0.0365986428259, 0.0081837053243, -1.8088889759728328, -1.6751121204768185, -1.80888897597, -1.76741560871, -1.73458370856, -1.70671132388, -1.67511212048
log_tau_i_89, -1.68903494672, 0.0365986428259, 0.0081837053243, -1.7588082005285681, -1.6250313450325538, -1.75880820053, -1.71733483326, -1.68450293312, -1.65663054844, -1.62503134503
log_tau_i_90, -1.63895417127, 0.0365986428259, 0.0081837053243, -1.7087274250843034, -1.574950569588289, -1.70872742508, -1.66725405782, -1.63442215767, -1.60654977299, -1.57495056959
log_tau_i_91, -1.58887339583, 0.0365986428259, 0.0081837053243, -1.6586466496400387, -1.5248697941440243, -1.65864664964, -1.61717328237, -1.58434138223, -1.55646899755, -1.52486979414
log_tau_i_92, -1.53879262038, 0.0365986428259, 0.0081837053243, -1.608565874195774, -1.4747890186997596, -1.6085658742, -1.56709250693, -1.53426060678, -1.5063882221, -1.4747890187
log_tau_i_93, -1.48871184494, 0.0365986428259, 0.0081837053243, -1.5584850987515093, -1.424708243255495, -1.55848509875, -1.51701173149, -1.48417983134, -1.45630744666, -1.42470824326
log_tau_i_94, -1.4386310695, 0.0365986428259, 0.0081837053243, -1.5084043233072446, -1.3746274678112302, -1.50840432331, -1.46693095604, -1.4340990559, -1.40622667121, -1.37462746781
log_tau_i_95, -1.38855029405, 0.0365986428259, 0.0081837053243, -1.45832354786298, -1.3245466923669655, -1.45832354786, -1.4168501806, -1.38401828045, -1.35614589577, -1.32454669237
log_tau_i_96, -1.33846951861, 0.0365986428259, 0.0081837053243, -1.4082427724187134, -1.274465916922699, -1.40824277242, -1.36676940515, -1.33393750501, -1.30606512033, -1.27446591692
log_tau_i_97, -1.28838874316, 0.0365986428259, 0.0081837053243, -1.3581619969744487, -1.2243851414784344, -1.35816199697, -1.31668862971, -1.28385672956, -1.25598434488, -1.22438514148
log_tau_i_98, -1.23830796772, 0.0365986428259, 0.0081837053243, -1.308081221530184, -1.1743043660341697, -1.30808122153, -1.26660785426, -1.23377595412, -1.20590356944, -1.17430436603
log_tau_i_99, -1.18822719227, 0.0365986428259, 0.0081837053243, -1.2580004460859193, -1.124223590589905, -1.25800044609, -1.21652707882, -1.18369517867, -1.15582279399, -1.12422359059
log_tau_i_100, -1.13814641683, 0.0365986428259, 0.0081837053243, -1.2079196706416546, -1.0741428151456403, -1.20791967064, -1.16644630338, -1.13361440323, -1.10574201855, -1.07414281515
log_tau_i_101, -1.08806564139, 0.0365986428259, 0.0081837053243, -1.15783889519739, -1.0240620397013755, -1.1578388952, -1.11636552793, -1.08353362779, -1.0556612431, -1.0240620397
log_tau_i_102, -1.03798486594, 0.0365986428259, 0.0081837053243, -1.1077581197531252, -0.9739812642571108, -1.10775811975, -1.06628475249, -1.03345285234, -1.00558046766, -0.973981264257
log_tau_i_103, -0.987904090497, 0.0365986428259, 0.0081837053243, -1.0576773443088587, -0.9239004888128444, -1.05767734431, -1.01620397704, -0.983372076898, -0.955499692215, -0.923900488813
log_tau_i_104, -0.937823315053, 0.0365986428259, 0.0081837053243, -1.007596568864594, -0.8738197133685797, -1.00759656886, -0.966123201599, -0.933291301453, -0.905418916771, -0.873819713369
log_tau_i_105, -0.887742539608, 0.0365986428259, 0.0081837053243, -0.9575157934203293, -0.823738937924315, -0.95751579342, -0.916042426154, -0.883210526009, -0.855338141327, -0.823738937924
log_tau_i_106, -0.837661764164, 0.0365986428259, 0.0081837053243, -0.9074350179760646, -0.7736581624800503, -0.907435017976, -0.86596165071, -0.833129750565, -0.805257365883, -0.77365816248
log_tau_i_107, -0.78758098872, 0.0365986428259, 0.0081837053243, -0.8573542425317999, -0.7235773870357856, -0.857354242532, -0.815880875266, -0.783048975121, -0.755176590438, -0.723577387036
log_tau_i_108, -0.737500213275, 0.0365986428259, 0.0081837053243, -0.8072734670875352, -0.6734966115915209, -0.807273467088, -0.765800099822, -0.732968199676, -0.705095814994, -0.673496611592
log_tau_i_109, -0.687419437831, 0.0365986428259, 0.0081837053243, -0.7571926916432705, -0.6234158361472562, -0.757192691643, -0.715719324377, -0.682887424232, -0.65501503955, -0.623415836147
log_tau_i_110, -0.637338662387, 0.0365986428259, 0.0081837053243, -0.707111916199004, -0.5733350607029897, -0.707111916199, -0.665638548933, -0.632806648788, -0.604934264106, -0.573335060703
log_tau_i_111, -0.587257886943, 0.0365986428259, 0.0081837053243, -0.6570311407547393, -0.523254285258725, -0.657031140755, -0.615557773489, -0.582725873344, -0.554853488661, -0.523254285259
log_tau_i_112, -0.537177111498, 0.0365986428259, 0.0081837053243, -0.6069503653104746, -0.47317350981446027, -0.60695036531, -0.565476998045, -0.532645097899, -0.504772713217, -0.473173509814
log_tau_i_113, -0.487096336054, 0.0365986428259, 0.0081837053243, -0.5568695898662099, -0.42309273437019557, -0.556869589866, -0.5153962226, -0.482564322455, -0.454691937773, -0.42309273437
log_tau_i_114, -0.43701556061, 0.0365986428259, 0.0081837053243, -0.5067888144219452, -0.37301195892593086, -0.506788814422, -0.465315447156, -0.432483547011, -0.404611162328, -0.373011958926
log_tau_i_115, -0.386934785166, 0.0365986428259, 0.0081837053243, -0.4567080389776806, -0.32293118348166616, -0.456708038978, -0.415234671712, -0.382402771567, -0.354530386884, -0.322931183482
log_tau_i_116, -0.336854009721, 0.0365986428259, 0.0081837053243, -0.4066272635334159, -0.27285040803740146, -0.406627263533, -0.365153896267, -0.332321996122, -0.30444961144, -0.272850408037
